Tiempo_Dias,Media_Color
0,0.897787843294883
5,0.853415109880842
7,0.78585218444764
8,0.764780563406064
9,0.759926260549095
10,0.743724425043828
11,0.72811107715912
13,0.728586869812981
14,0.702840876277474
16,0.699194433063908
18,0.686849352558079
20,0.660548827220368
22,0.6406007906278
24,0.62512925789091
25,0.610837625180568
28,0.613325086621372
29,0.600638616399093
31,0.620842932831162
34,0.61126999090714
36,0.600949613887369
39,0.566642668546061
42,0.550986577615133
44,0.555109752432674
47,0.553456428132049
48,0.520730911822173
51,0.489387202505564
52,0.488233306851152
55,0.485226278086719
58,0.464838376684823
62,0.422372538526295
64,0.407803505568349
66,0.366967264453399
69,0.358773120701558
71,0.353825397622786
73,0.369282788878889
76,0.359294593719891
78,0.352543598484961
81,0.327184434784628
83,0.298350236238706
85,0.293396098762288
89,0.296223723065904
91,0.33557854677675
